#[a],Portrait,Name (Birth–Death),Term,Party[b],Party[b]2,Election,Vice President
#,Portrait,"Name
(Birth–Death)",Term,Party,Party,Election,Vice President
1,,"George Washington
(1732–1799)","April 30, 1789
–
March 4, 1797",,Unaffiliated,1788–89,John Adams
1,,"George Washington
(1732–1799)","April 30, 1789
–
March 4, 1797",,Unaffiliated,1792,John Adams
2,,"John Adams
(1735–1826)","March 4, 1797
–
March 4, 1801",,Federalist,1796,Thomas Jefferson
3,,"Thomas Jefferson
(1743–1826)","March 4, 1801
–
March 4, 1809",,"Democratic-
Republican",1800,Aaron Burr
3,,"Thomas Jefferson
(1743–1826)","March 4, 1801
–
March 4, 1809",,"Democratic-
Republican",1804,George Clinton
4,,"James Madison
(1751–1836)","March 4, 1809
–
March 4, 1817",,"Democratic-
Republican",1808,George Clinton
4,,"James Madison
(1751–1836)","March 4, 1809
–
March 4, 1817",,"Democratic-
Republican",1808,"Vacant after
Apr. 20, 1812"
4,,"James Madison
(1751–1836)","March 4, 1809
–
March 4, 1817",,"Democratic-
Republican",1812,Elbridge Gerry
4,,"James Madison
(1751–1836)","March 4, 1809
–
March 4, 1817",,"Democratic-
Republican",1812,"Vacant after
Nov. 23, 1814"
5,,"James Monroe
(1758–1831)","March 4, 1817
–
March 4, 1825",,"Democratic-
Republican",1816,Daniel D. Tompkins
5,,"James Monroe
(1758–1831)","March 4, 1817
–
March 4, 1825",,"Democratic-
Republican",1820,Daniel D. Tompkins
6,,"John Quincy Adams
(1767–1848)","March 4, 1825
–
March 4, 1829",,"Democratic-
Republican",1824,John C. Calhoun
6,,"John Quincy Adams
(1767–1848)","March 4, 1825
–
March 4, 1829",,National Republican,1824,John C. Calhoun
7,,"Andrew Jackson
(1767–1845)","March 4, 1829
–
March 4, 1837",,Democratic,1828,John C. Calhoun
7,,"Andrew Jackson
(1767–1845)","March 4, 1829
–
March 4, 1837",,Democratic,1828,"Vacant after
Dec. 28, 1832"
7,,"Andrew Jackson
(1767–1845)","March 4, 1829
–
March 4, 1837",,Democratic,1832,Martin Van Buren
8,,"Martin Van Buren
(1782–1862)","March 4, 1837
–
March 4, 1841",,Democratic,1836,Richard Mentor Johnson
9,,"William Henry Harrison
(1773–1841)","March 4, 1841
–
April 4, 1841",,Whig,1840,John Tyler
10,,"John Tyler
(1790–1862)","April 4, 1841[i]
–
March 4, 1845",,Whig,1840,"Vacant throughout
presidency"
10,,"John Tyler
(1790–1862)","April 4, 1841[i]
–
March 4, 1845",,Unaffiliated,1840,"Vacant throughout
presidency"
11,,"James K. Polk
(1795–1849)","March 4, 1845
–
March 4, 1849",,Democratic,1844,George M. Dallas
12,,"Zachary Taylor
(1784–1850)","March 4, 1849
–
July 9, 1850",,Whig,1848,Millard Fillmore
13,,"Millard Fillmore
(1800–1874)","July 9, 1850
–
March 4, 1853",,Whig,1848,"Vacant throughout
presidency"
14,,"Franklin Pierce
(1804–1869)","March 4, 1853
–
March 4, 1857",,Democratic,1852,William R. King
14,,"Franklin Pierce
(1804–1869)","March 4, 1853
–
March 4, 1857",,Democratic,1852,"Vacant after
Apr. 18, 1853"
15,,"James Buchanan
(1791–1868)","March 4, 1857
–
March 4, 1861",,Democratic,1856,John C. Breckinridge
